comentario,nota,responsavel,comentario_stem_snowball
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,0,Serviços,o carreg dos relatori demor receb erro enquant tent faz transferenc
"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",1,Suporte,consegu consult sald mas depo aparec erro em chat o carreg dos relatori demor as notificaco cheg atras receb erro enquant tent consult sald precis repet algum etap par conclu o suport ped nov as mesm informaco msg
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,5,Serviços,receb erro enquant tent integr sistem as notificaco cheg atras demor ploblem
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",7,Geral,o suport ped nov as mesm informaco o atend resolv rap a solicitaca consegu emit bolet mas depo aparec erro em carta virtual o carreg dos relatori demor tent emit bolet e usabil trav duas vez as notificaco cheg atras
Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,1,Serviços,depo da atualizaca onboarding fic mais simpl o atend resolv rap a solicitaca onboarding demor par respond precis repet algum etap par conclu ploblem travan vcs
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",2,Serviços,o suport ped nov as mesm informaco o carreg dos relatori demor consegu baix relatori mas depo aparec erro em api o atend resolv rap a solicitaca notificaco demor par respond
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",3,Serviços,receb erro enquant tent consult limit consegu consult limit mas depo aparec erro em extrat o atend resolv rap a solicitaca precis repet algum etap par conclu
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",10,Produto,o carreg dos relatori demor o suport ped nov as mesm informaco as notificaco cheg atras precis repet algum etap par conclu consegu acompanh pagament mas depo aparec erro em api pagament demor par respond naum
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",0,Produto,precis repet algum etap par conclu receb erro enquant tent faz transferenc as notificaco cheg atras consegu faz transferenc mas depo aparec erro em cadastr o suport ped nov as mesm informaco
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",8,Produto,o suport ped nov as mesm informaco o atend resolv rap a solicitaca receb erro enquant tent emit bolet login demor par respond consegu emit bolet mas depo aparec erro em cadastr depo da atualizaca login fic mais simpl
