comentario,nota,responsavel,pos_tags
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,0,Serviços,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT')]"
"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",1,Suporte,"[('Consegui', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('chat', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('msg', 'NOUN')]"
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,5,Serviços,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('integrar', 'VERB'), ('sistema', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('demoro', 'NOUN'), ('ploblema', 'NOUN')]"
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",7,Geral,"[('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('cartão', 'NOUN'), ('virtual', 'ADJ'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), ('e', 'CCONJ'), ('usabilidade', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT')]"
Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,1,Serviços,"[('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('onboarding', 'PROPN'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('onboarding', 'PROPN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('ploblema', 'NOUN'), ('travano', 'ADJ'), ('vcs', 'VERB')]"
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",2,Serviços,"[('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('API', 'PROPN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('notificações', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT')]"
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",3,Serviços,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('consultar', 'VERB'), ('limite', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'PROPN'), ('consultar', 'VERB'), ('limite', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('extrato', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT')]"
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",10,Produto,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Consegui', 'PROPN'), ('acompanhar', 'VERB'), ('pagamento', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('API', 'PROPN'), ('.', 'PUNCT'), ('pagamentos', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('naum', 'NOUN')]"
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",0,Produto,"[('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('cadastro', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT')]"
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",8,Produto,"[('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), ('.', 'PUNCT'), ('login', 'PROPN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('cadastro', 'NOUN'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('login', 'NOUN'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT')]"
