comentario,nota,responsavel,comentario_lemma
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,0,Serviços,o carregamento de o relatório demorar . Recebi erro enquanto tentar fazer transferência .
"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",1,Suporte,"Consegui consultar saldo , mas depois aparecer erro em chat . o carregamento de o relatório demorar . o notificação chegar atrasado . Recebi erro enquanto tentar consultar saldo . Precisei repetir algum etapa para concluir . o suporte pedir novamente o mesmo informação . msg"
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,5,Serviços,Recebi erro enquanto tentar integrar sistema . o notificação chegar atrasar . demoro ploblema
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",7,Geral,"o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . conseguir emitir boleto , mas depois aparecer erro em cartão virtual . o carregamento de o relatório demorar . Tentei emitir boleto e usabilidade travar dois vez . o notificação chegar atrasado ."
Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,1,Serviços,depois de o atualização onboarding ficar mais simples . o atendimento resolver rápido o solicitação . onboarding demorar para responder . precisei repetir algum etapa para concluir . ploblema travano vcsr
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",2,Serviços,"o suporte pedir novamente o mesmo informação . o carregamento de o relatório demorar . Consegui baixar relatório , mas depois aparecer erro em API . o atendimento resolver rápido o solicitação . notificação demorar para responder ."
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",3,Serviços,"Recebi erro enquanto tentar consultar limite . Consegui consultar limite , mas depois aparecer erro em extrato . o atendimento resolver rápido o solicitação . precisei repetir algum etapa para concluir ."
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",10,Produto,"o carregamento de o relatório demorar . o suporte pedir novamente o mesmo informação . o notificação chegar atrasado . precisei repetir algum etapa para concluir . Consegui acompanhar pagamento , mas depois aparecer erro em API . pagamento demorar para responder . naum"
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",0,Produto,"precisei repetir algum etapa para concluir . Recebi erro enquanto tentar fazer transferência . o notificação chegar atrasado . Consegui fazer transferência , mas depois aparecer erro em cadastro . o suporte pedir novamente o mesmo informação ."
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",8,Produto,"o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . Recebi erro enquanto tentar emitir boleto . login demorar para responder . Consegui emitir boleto , mas depois aparecer erro em cadastro . depois de o atualização login ficar mais simples ."
"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",4,Pós-venda,"o carregamento de o relatório demorar . Consegui emitir boleto , mas depois aparecer erro em API . integração demorar para responder . depois de o atualização integração ficar mais simples ."
Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,8,Produto,Recebi erro enquanto tentar baixar relatório . o atendimento resolver rápido o solicitação .
