comentario,nota,responsavel,comentario_original,is_noise,comentario_filtrado
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,0,Serviços,O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,False,O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.
"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",1,Suporte,"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",False,"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg"
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,5,Serviços,Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,False,Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",7,Geral,"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",False,"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas."
Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,1,Serviços,Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,False,Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",2,Serviços,"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",False,"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder."
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",3,Serviços,"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",False,"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir."
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",10,Produto,"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",False,"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum"
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",0,Produto,"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",False,"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações."
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",8,Produto,"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",False,"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples."
"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",4,Pós-venda,"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",False,"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples."
Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,8,Produto,Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,False,Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.
Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,4,Geral,Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,False,Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",2,Produto,"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",False,"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações."
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,4,Serviços,O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,False,O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro
