comentario,nota,responsavel,comentario_tokenizado
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,0,Serviços,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'fazer', 'transferência', '.']"
"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",1,Suporte,"['Consegui', 'consultar', 'saldo', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'chat', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'saldo', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'msg']"
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,5,Serviços,"['Recebi', 'erro', 'enquanto', 'tentava', 'integrar', 'sistema', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'demoro', 'ploblema']"
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",7,Geral,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Consegui', 'emitir', 'boleto', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'cartão', 'virtual', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Tentei', 'emitir', 'boleto', 'e', 'usabilidade', 'travou', 'duas', 'vezes', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,1,Serviços,"['Depois', 'da', 'atualização', 'onboarding', 'ficou', 'mais', 'simples', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'onboarding', 'demorou', 'para', 'responder', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'ploblema', 'travano', 'vcs']"
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",2,Serviços,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Consegui', 'baixar', 'relatório', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'notificações', 'demorou', 'para', 'responder', '.']"
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",3,Serviços,"['Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'limite', '.', 'Consegui', 'consultar', 'limite', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'extrato', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.']"
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",10,Produto,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Consegui', 'acompanhar', 'pagamento', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'pagamentos', 'demorou', 'para', 'responder', '.', 'naum']"
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",0,Produto,"['Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'fazer', 'transferência', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Consegui', 'fazer', 'transferência', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'cadastro', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.']"
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",8,Produto,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'emitir', 'boleto', '.', 'login', 'demorou', 'para', 'responder', '.', 'Consegui', 'emitir', 'boleto', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'cadastro', '.', 'Depois', 'da', 'atualização', 'login', 'ficou', 'mais', 'simples', '.']"
"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",4,Pós-venda,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Consegui', 'emitir', 'boleto', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'integração', 'demorou', 'para', 'responder', '.', 'Depois', 'da', 'atualização', 'integração', 'ficou', 'mais', 'simples', '.']"
Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,8,Produto,"['Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.']"
Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,4,Geral,"['Depois', 'da', 'atualização', 'notificações', 'ficou', 'mais', 'simples', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'emitir', 'boleto', '.']"
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",2,Produto,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Consegui', 'fazer', 'transferência', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'relatórios', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.']"
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,4,Serviços,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Depois', 'da', 'atualização', 'cadastro', 'ficou', 'mais', 'simples', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'integrar', 'sistema', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'demoro']"
Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. ploblema,9,Produto,"['Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'saldo', '.', 'Tentei', 'consultar', 'saldo', 'e', 'dashboard', 'travou', 'duas', 'vezes', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'ploblema']"
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. sitema atendimnto bugou",3,Serviços,"['Depois', 'da', 'atualização', 'performance', 'ficou', 'mais', 'simples', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Consegui', 'baixar', 'relatório', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'chat', '.', 'sitema', 'atendimnto', 'bugou']"
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Produto,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'saldo', '.', 'Consegui', 'consultar', 'saldo', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'dashboard', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,2,Suporte,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'emitir', 'boleto', '.', 'Tentei', 'emitir', 'boleto', 'e', 'notificações', 'travou', 'duas', 'vezes', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.']"
"Tentei acompanhar pagamento e limite travou duas vezes. limite demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. ploblema sitema",3,Pós-venda,"['Tentei', 'acompanhar', 'pagamento', 'e', 'limite', 'travou', 'duas', 'vezes', '.', 'limite', 'demorou', 'para', 'responder', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Consegui', 'acompanhar', 'pagamento', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'usabilidade', '.', 'ploblema', 'sitema']"
"Consegui acompanhar pagamento, mas depois apareceu erro em API. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. demoro",8,Serviços,"['Consegui', 'acompanhar', 'pagamento', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'Tentei', 'acompanhar', 'pagamento', 'e', 'limite', 'travou', 'duas', 'vezes', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'demoro']"
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência.,8,Produto,"['Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'fazer', 'transferência', '.']"
Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. msg travano,1,Suporte,"['Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'saldo', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'chat', 'demorou', 'para', 'responder', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'msg', 'travano']"
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,7,Serviços,"['Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'saldo', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Depois', 'da', 'atualização', 'integração', 'ficou', 'mais', 'simples', '.']"
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,5,Suporte,"['usabilidade', 'demorou', 'para', 'responder', '.', 'Depois', 'da', 'atualização', 'usabilidade', 'ficou', 'mais', 'simples', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.']"
Mais ou menos.,8,Geral,"['Mais', 'ou', 'menos', '.']"
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. demoro probelma,10,Suporte,"['Recebi', 'erro', 'enquanto', 'tentava', 'atualizar', 'cadastro', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'demoro', 'probelma']"
Tentei baixar relatório e onboarding travou duas vezes. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. atendimnto,3,Serviços,"['Tentei', 'baixar', 'relatório', 'e', 'onboarding', 'travou', 'duas', 'vezes', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Depois', 'da', 'atualização', 'onboarding', 'ficou', 'mais', 'simples', '.', 'atendimnto']"
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,10,Serviços,"['As', 'notificações', 'chegaram', 'atrasadas', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Tentei', 'baixar', 'relatório', 'e', 'API', 'travou', 'duas', 'vezes', '.', 'Depois', 'da', 'atualização', 'API', 'ficou', 'mais', 'simples', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.']"
