id_comentario,responsavel,entidade,tipo
1,Suporte,Precisei,LOC
3,Geral,Tentei,PER
4,Serviços,onboarding,MISC
4,Serviços,Precisei,LOC
4,Serviços,ploblema travano,PER
6,Serviços,Precisei,LOC
7,Produto,Precisei,LOC
7,Produto,naum,LOC
8,Produto,Precisei,LOC
14,Serviços,Precisei,LOC
15,Produto,Tentei,PER
15,Produto,dashboard,PER
15,Produto,ploblema,LOC
18,Suporte,Tentei,PER
19,Pós-venda,Tentei,PER
19,Pós-venda,Precisei,LOC
19,Pós-venda,ploblema,LOC
20,Serviços,Tentei,PER
21,Produto,Precisei,LOC
22,Suporte,chat,PER
22,Suporte,Precisei,LOC
23,Serviços,Precisei,LOC
26,Suporte,demoro probelma,PER
27,Serviços,Tentei,PER
28,Serviços,Tentei,PER
28,Serviços,Precisei,LOC
29,Geral,Tentei,PER
29,Geral,Precisei,LOC
30,Serviços,Precisei,LOC
32,Suporte,Precisei,LOC
34,Pós-venda,Tentei,PER
38,Serviços,travano,LOC
39,Suporte,Precisei,LOC
40,Produto,naum,LOC
41,Produto,Precisei,LOC
42,Suporte,Tentei,PER
42,Suporte,naum,LOC
43,Suporte,Precisei,LOC
44,Suporte,Tentei,PER
44,Suporte,Precisei,LOC
45,Pós-venda,Precisei,LOC
45,Pós-venda,Tentei,PER
46,Geral,Precisei,LOC
46,Geral,Tentei,PER
47,Suporte,Precisei,LOC
49,Suporte,Tentei,PER
49,Suporte,travano vcs,PER
50,Produto,Precisei,LOC
51,Suporte,Precisei,LOC
51,Suporte,Tentei,PER
52,Geral,Tentei,PER
53,Produto,dashboard,PER
53,Produto,Precisei,LOC
54,Suporte,Precisei,LOC
56,Suporte,Tentei,PER
56,Suporte,Precisei,LOC
58,Suporte,Precisei,LOC
58,Suporte,probelma vcs,PER
60,Pós-venda,dashboard,PER
61,Pós-venda,Tentei,PER
68,Serviços,Tentei,PER
69,Pós-venda,Precisei,LOC
70,Serviços,Precisei,LOC
70,Serviços,Tentei,PER
70,Serviços,dashboard,PER
70,Serviços,dashboard,PER
72,Produto,Tentei,PER
73,Pós-venda,Tentei,PER
74,Serviços,Tentei,PER
74,Serviços,Precisei,LOC
74,Serviços,naum,LOC
76,Suporte,limite,PER
77,Geral,Tentei,PER
78,Geral,limite,PER
79,Produto,Tentei,PER
80,Serviços,Tentei,PER
80,Serviços,Precisei,LOC
81,Produto,Precisei,LOC
82,Geral,Tentei,PER
83,Serviços,Tentei,PER
83,Serviços,Precisei,LOC
84,Suporte,Precisei,LOC
