comentario,nota,responsavel
carreg relatori demor receb erro enquant tent faz transferenc,0,Serviços
consegu consult sald aparec erro chat carreg relatori demor notificaco cheg atras receb erro enquant tent consult sald precis repet algum etap conclu suport ped nov mesm informaco msg,1,Suporte
receb erro enquant tent integr notificaco cheg atras demor ploblem,5,Serviços
suport ped nov mesm informaco atend resolv rap solicitaca consegu emit bolet aparec erro carta virtual carreg relatori demor tent emit bolet usabil trav duas vez notificaco cheg atras,7,Geral
atualizaca onboarding fic simpl atend resolv rap solicitaca onboarding demor respond precis repet algum etap conclu ploblem travan vcs,1,Serviços
suport ped nov mesm informaco carreg relatori demor consegu baix relatori aparec erro api atend resolv rap solicitaca notificaco demor respond,2,Serviços
receb erro enquant tent consult limit consegu consult limit aparec erro extrat atend resolv rap solicitaca precis repet algum etap conclu,3,Serviços
carreg relatori demor suport ped nov mesm informaco notificaco cheg atras precis repet algum etap conclu consegu acompanh pagament aparec erro api pagament demor respond naum,10,Produto
precis repet algum etap conclu receb erro enquant tent faz transferenc notificaco cheg atras consegu faz transferenc aparec erro cadastr suport ped nov mesm informaco,0,Produto
suport ped nov mesm informaco atend resolv rap solicitaca receb erro enquant tent emit bolet login demor respond consegu emit bolet aparec erro cadastr atualizaca login fic simpl,8,Produto
carreg relatori demor consegu emit bolet aparec erro api integraca demor respond atualizaca integraca fic simpl,4,Pós-venda
receb erro enquant tent baix relatori atend resolv rap solicitaca,8,Produto
atualizaca notificaco fic simpl receb erro enquant tent emit bolet,4,Geral
carreg relatori demor notificaco cheg atras consegu faz transferenc aparec erro relatori suport ped nov mesm informaco,2,Produto
carreg relatori demor atualizaca cadastr fic simpl receb erro enquant tent integr precis repet algum etap conclu notificaco cheg atras demor,4,Serviços
receb erro enquant tent consult sald tent consult sald dashboard trav duas vez atend resolv rap solicitaca ploblem,9,Produto
atualizaca performanc fic simpl notificaco cheg atras consegu baix relatori aparec erro chat sitem atendimnt bug,3,Serviços
atend resolv rap solicitaca receb erro enquant tent consult sald consegu consult sald aparec erro dashboard carreg relatori demor notificaco cheg atras,0,Produto
carreg relatori demor receb erro enquant tent emit bolet tent emit bolet notificaco trav duas vez atend resolv rap solicitaca suport ped nov mesm informaco,2,Suporte
tent acompanh pagament limit trav duas vez limit demor respond notificaco cheg atras precis repet algum etap conclu consegu acompanh pagament aparec erro usabil ploblem sitem,3,Pós-venda
consegu acompanh pagament aparec erro api tent acompanh pagament limit trav duas vez carreg relatori demor atend resolv rap solicitaca demor,8,Serviços
precis repet algum etap conclu receb erro enquant tent faz transferenc,8,Produto
receb erro enquant tent consult sald notificaco cheg atras atend resolv rap solicitaca chat demor respond precis repet algum etap conclu carreg relatori demor msg travan,1,Suporte
precis repet algum etap conclu receb erro enquant tent consult sald carreg relatori demor suport ped nov mesm informaco atualizaca integraca fic simpl,7,Serviços
usabil demor respond atualizaca usabil fic simpl suport ped nov mesm informaco carreg relatori demor,5,Suporte
receb erro enquant tent atualiz cadastr carreg relatori demor demor probelm,10,Suporte
tent baix relatori onboarding trav duas vez receb erro enquant tent baix relatori notificaco cheg atras atualizaca onboarding fic simpl atendimnt,3,Serviços
notificaco cheg atras carreg relatori demor tent baix relatori api trav duas vez atualizaca api fic simpl precis repet algum etap conclu receb erro enquant tent baix relatori,10,Serviços
atend resolv rap solicitaca tent consult sald carta virtual trav duas vez precis repet algum etap conclu receb erro enquant tent consult sald,9,Geral
usabil demor respond consegu consult limit aparec erro onboarding precis repet algum etap conclu notificaco cheg atras receb erro enquant tent consult limit carreg relatori demor atendimnt sitem probelm,5,Serviços
consegu baix relatori aparec erro onboarding atualizaca login fic simpl atend resolv rap solicitaca probelm,1,Suporte
atend resolv rap solicitaca carreg relatori demor notificaco cheg atras precis repet algum etap conclu,3,Suporte
receb erro enquant tent atualiz cadastr notificaco cheg atras sitem demor,0,Produto
notificaco cheg atras tent atualiz cadastr chat trav duas vez,1,Pós-venda
notificaco cheg atras receb erro enquant tent acompanh pagament atend resolv rap solicitaca suport ped nov mesm informaco bug,10,Geral
carreg relatori demor carta virtual demor respond consegu consult limit aparec erro extrat atualizaca carta virtual fic simpl,8,Geral
suport ped nov mesm informaco consegu consult sald aparec erro carta virtual notificaco cheg atras atualizaca pagament fic simpl,2,Produto
receb erro enquant tent baix relatori suport ped nov mesm informaco atend resolv rap solicitaca travan,7,Serviços
receb erro enquant tent baix relatori atualizaca login fic simpl notificaco cheg atras atend resolv rap solicitaca suport ped nov mesm informaco precis repet algum etap conclu,3,Suporte
notificaco cheg atras consegu consult sald aparec erro performanc naum platafrom qdo,6,Produto
precis repet algum etap conclu carreg relatori demor notificaco cheg atras atualizaca integraca fic simpl suport ped nov mesm informaco,1,Produto
atualizaca integraca fic simpl consegu atualiz cadastr aparec erro notificaco suport ped nov mesm informaco carreg relatori demor tent atualiz cadastr integraca trav duas vez integraca demor respond atendimnt naum,7,Suporte
notificaco cheg atras precis repet algum etap conclu sitem qdo,2,Suporte
notificaco cheg atras atualizaca integraca fic simpl tent consult sald integraca trav duas vez integraca demor respond precis repet algum etap conclu consegu consult sald aparec erro chat,6,Suporte
consegu acompanh pagament aparec erro relatori suport ped nov mesm informaco notificaco cheg atras precis repet algum etap conclu tent acompanh pagament performanc trav duas vez travan sitem msg,6,Pós-venda
precis repet algum etap conclu tent consult limit relatori trav duas vez receb erro enquant tent consult limit atend resolv rap solicitaca consegu consult limit aparec erro login atualizaca relatori fic simpl,2,Geral
notificaco cheg atras suport ped nov mesm informaco precis repet algum etap conclu notificaco demor respond,4,Suporte
consegu consult sald aparec erro login tent consult sald cadastr trav duas vez cadastr demor respond travan vcs,1,Suporte
precis repet algum etap conclu receb erro enquant tent integr pagament demor respond,3,Produto
consegu consult limit aparec erro cadastr receb erro enquant tent consult limit precis repet algum etap conclu tent consult limit chat trav duas vez atend resolv rap solicitaca,0,Suporte
carreg relatori demor notificaco cheg atras atend resolv rap solicitaca tent consult sald integraca trav duas vez,9,Geral
dashboard demor respond notificaco cheg atras precis repet algum etap conclu atend resolv rap solicitaca suport ped nov mesm informaco,6,Produto
consegu atualiz cadastr aparec erro carta virtual receb erro enquant tent atualiz cadastr suport ped nov mesm informaco precis repet algum etap conclu demor bug,8,Suporte
suport ped nov mesm informaco carreg relatori demor tent atualiz cadastr pagament trav duas vez precis repet algum etap conclu receb erro enquant tent atualiz cadastr atualizaca pagament fic simpl platafrom naum,3,Suporte
suport ped nov mesm informaco consegu consult sald aparec erro usabil,7,Serviços
carreg relatori demor atend resolv rap solicitaca precis repet algum etap conclu atualizaca limit fic simpl consegu integr aparec erro relatori probelm vcs,10,Suporte
consegu faz transferenc aparec erro integraca atualizaca relatori fic simpl suport ped nov mesm informaco,5,Serviços
consegu acompanh pagament aparec erro onboarding atend resolv rap solicitaca dashboard demor respond atualizaca dashboard fic simpl msg ploblem qdo,8,Pós-venda
tent baix relatori api trav duas vez suport ped nov mesm informaco,8,Pós-venda
receb erro enquant tent baix relatori notificaco cheg atras,2,Produto
notificaco cheg atras atualizaca integraca fic simpl carreg relatori demor integraca demor respond suport ped nov mesm informaco consegu acompanh pagament aparec erro chat qdo demor vcs,6,Suporte
consegu emit bolet aparec erro cadastr pagament demor respond receb erro enquant tent emit bolet platafrom demor,3,Pós-venda
consegu baix relatori aparec erro pagament suport ped nov mesm informaco,0,Produto
consegu emit bolet aparec erro carta virtual notificaco demor respond suport ped nov mesm informaco notificaco cheg atras receb erro enquant tent emit bolet tent emit bolet notificaco trav duas vez demor bug,10,Serviços
carreg relatori demor precis repet algum etap conclu atualizaca performanc fic simpl consegu consult limit aparec erro pagament sitem,7,Pós-venda
precis repet algum etap conclu tent consult sald dashboard trav duas vez dashboard demor respond consegu consult sald aparec erro notificaco,9,Serviços
atualizaca chat fic simpl atend resolv rap solicitaca,4,Produto
notificaco cheg atras carreg relatori demor tent baix relatori extrat trav duas vez consegu baix relatori aparec erro carta virtual atendimnt vcs,1,Produto
tent baix relatori onboarding trav duas vez consegu baix relatori aparec erro login atend resolv rap solicitaca suport ped nov mesm informaco carreg relatori demor,6,Pós-venda
receb erro enquant tent baix relatori tent baix relatori api trav duas vez consegu baix relatori aparec erro pagament atend resolv rap solicitaca precis repet algum etap conclu naum,3,Serviços
usabil demor respond atualizaca usabil fic simpl,3,Produto
carreg relatori demor limit demor respond notificaco cheg atras receb erro enquant tent acompanh pagament suport ped nov mesm informaco,4,Suporte
