comentario,nota,responsavel,comentario_normalizado
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,0,Serviços,o carregamento dos relatorios demorou recebi erro enquanto tentava fazer transferencia
"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",1,Suporte,consegui consultar saldo mas depois apareceu erro em chat o carregamento dos relatorios demorou as notificacoes chegaram atrasadas recebi erro enquanto tentava consultar saldo precisei repetir algumas etapas para concluir o suporte pediu novamente as mesmas informacoes msg
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,5,Serviços,recebi erro enquanto tentava integrar sistema as notificacoes chegaram atrasadas demoro ploblema
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",7,Geral,o suporte pediu novamente as mesmas informacoes o atendimento resolveu rapido a solicitacao consegui emitir boleto mas depois apareceu erro em cartao virtual o carregamento dos relatorios demorou tentei emitir boleto e usabilidade travou duas vezes as notificacoes chegaram atrasadas
Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,1,Serviços,depois da atualizacao onboarding ficou mais simples o atendimento resolveu rapido a solicitacao onboarding demorou para responder precisei repetir algumas etapas para concluir ploblema travano vcs
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",2,Serviços,o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou consegui baixar relatorio mas depois apareceu erro em api o atendimento resolveu rapido a solicitacao notificacoes demorou para responder
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",3,Serviços,recebi erro enquanto tentava consultar limite consegui consultar limite mas depois apareceu erro em extrato o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",10,Produto,o carregamento dos relatorios demorou o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir consegui acompanhar pagamento mas depois apareceu erro em api pagamentos demorou para responder naum
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",0,Produto,precisei repetir algumas etapas para concluir recebi erro enquanto tentava fazer transferencia as notificacoes chegaram atrasadas consegui fazer transferencia mas depois apareceu erro em cadastro o suporte pediu novamente as mesmas informacoes
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",8,Produto,o suporte pediu novamente as mesmas informacoes o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava emitir boleto login demorou para responder consegui emitir boleto mas depois apareceu erro em cadastro depois da atualizacao login ficou mais simples
"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",4,Pós-venda,o carregamento dos relatorios demorou consegui emitir boleto mas depois apareceu erro em api integracao demorou para responder depois da atualizacao integracao ficou mais simples
Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,8,Produto,recebi erro enquanto tentava baixar relatorio o atendimento resolveu rapido a solicitacao
Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,4,Geral,depois da atualizacao notificacoes ficou mais simples recebi erro enquanto tentava emitir boleto
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",2,Produto,o carregamento dos relatorios demorou as notificacoes chegaram atrasadas consegui fazer transferencia mas depois apareceu erro em relatorios o suporte pediu novamente as mesmas informacoes
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,4,Serviços,o carregamento dos relatorios demorou depois da atualizacao cadastro ficou mais simples recebi erro enquanto tentava integrar sistema precisei repetir algumas etapas para concluir as notificacoes chegaram atrasadas demoro
Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. ploblema,9,Produto,recebi erro enquanto tentava consultar saldo tentei consultar saldo e dashboard travou duas vezes o atendimento resolveu rapido a solicitacao ploblema
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. sitema atendimnto bugou",3,Serviços,depois da atualizacao performance ficou mais simples as notificacoes chegaram atrasadas consegui baixar relatorio mas depois apareceu erro em chat sitema atendimnto bugou
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Produto,o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava consultar saldo consegui consultar saldo mas depois apareceu erro em dashboard o carregamento dos relatorios demorou as notificacoes chegaram atrasadas
O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,2,Suporte,o carregamento dos relatorios demorou recebi erro enquanto tentava emitir boleto tentei emitir boleto e notificacoes travou duas vezes o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes
"Tentei acompanhar pagamento e limite travou duas vezes. limite demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. ploblema sitema",3,Pós-venda,tentei acompanhar pagamento e limite travou duas vezes limite demorou para responder as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir consegui acompanhar pagamento mas depois apareceu erro em usabilidade ploblema sitema
"Consegui acompanhar pagamento, mas depois apareceu erro em API. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. demoro",8,Serviços,consegui acompanhar pagamento mas depois apareceu erro em api tentei acompanhar pagamento e limite travou duas vezes o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao demoro
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência.,8,Produto,precisei repetir algumas etapas para concluir recebi erro enquanto tentava fazer transferencia
Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. msg travano,1,Suporte,recebi erro enquanto tentava consultar saldo as notificacoes chegaram atrasadas o atendimento resolveu rapido a solicitacao chat demorou para responder precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou msg travano
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,7,Serviços,precisei repetir algumas etapas para concluir recebi erro enquanto tentava consultar saldo o carregamento dos relatorios demorou o suporte pediu novamente as mesmas informacoes depois da atualizacao integracao ficou mais simples
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,5,Suporte,usabilidade demorou para responder depois da atualizacao usabilidade ficou mais simples o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou
Mais ou menos.,8,Geral,mais ou menos
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. demoro probelma,10,Suporte,recebi erro enquanto tentava atualizar cadastro o carregamento dos relatorios demorou demoro probelma
Tentei baixar relatório e onboarding travou duas vezes. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. atendimnto,3,Serviços,tentei baixar relatorio e onboarding travou duas vezes recebi erro enquanto tentava baixar relatorio as notificacoes chegaram atrasadas depois da atualizacao onboarding ficou mais simples atendimnto
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,10,Serviços,as notificacoes chegaram atrasadas o carregamento dos relatorios demorou tentei baixar relatorio e api travou duas vezes depois da atualizacao api ficou mais simples precisei repetir algumas etapas para concluir recebi erro enquanto tentava baixar relatorio
O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo.,9,Geral,o atendimento resolveu rapido a solicitacao tentei consultar saldo e cartao virtual travou duas vezes precisei repetir algumas etapas para concluir recebi erro enquanto tentava consultar saldo
"usabilidade demorou para responder. Consegui consultar limite, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. atendimnto sitema probelma",5,Serviços,usabilidade demorou para responder consegui consultar limite mas depois apareceu erro em onboarding precisei repetir algumas etapas para concluir as notificacoes chegaram atrasadas recebi erro enquanto tentava consultar limite o carregamento dos relatorios demorou atendimnto sitema probelma
"Consegui baixar relatório, mas depois apareceu erro em onboarding. Depois da atualização login ficou mais simples. O atendimento resolveu rápido a solicitação. probelma",1,Suporte,consegui baixar relatorio mas depois apareceu erro em onboarding depois da atualizacao login ficou mais simples o atendimento resolveu rapido a solicitacao probelma
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,3,Suporte,o atendimento resolveu rapido a solicitacao o carregamento dos relatorios demorou as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir
Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. sitema demoro,0,Produto,recebi erro enquanto tentava atualizar cadastro as notificacoes chegaram atrasadas sitema demoro
