id_comentario,responsavel,termo_original,entidade_aproximada,distancia
0,Serviços,carregamento,carregamento,0
0,Serviços,relatórios,relatorio,2
0,Serviços,erro,erro,0
0,Serviços,transferência,transferencia,1
1,Suporte,consultar,consultor,1
1,Suporte,saldo,saldo,0
1,Suporte,erro,erro,0
1,Suporte,carregamento,carregamento,0
1,Suporte,relatórios,relatorio,2
1,Suporte,erro,erro,0
1,Suporte,consultar,consultor,1
1,Suporte,saldo,saldo,0
1,Suporte,suporte,suporte,0
1,Suporte,pediu,pix,3
2,Serviços,erro,erro,0
2,Serviços,integrar,integracao,3
2,Serviços,sistema,sistema,0
2,Serviços,demoro,erro,3
2,Serviços,ploblema,problema,1
3,Geral,suporte,suporte,0
3,Geral,pediu,pix,3
3,Geral,atendimento,atendimento,0
3,Geral,boleto,boleto,0
3,Geral,erro,erro,0
3,Geral,cartão,cartao,1
3,Geral,carregamento,carregamento,0
3,Geral,relatórios,relatorio,2
3,Geral,boleto,boleto,0
3,Geral,usabilidade,usabilidade,0
3,Geral,duas,bug,3
4,Serviços,onboarding,onboarding,0
4,Serviços,atendimento,atendimento,0
4,Serviços,onboarding,onboarding,0
4,Serviços,ploblema,problema,1
5,Serviços,suporte,suporte,0
5,Serviços,pediu,pix,3
5,Serviços,carregamento,carregamento,0
5,Serviços,relatórios,relatorio,2
5,Serviços,relatório,relatorio,1
5,Serviços,erro,erro,0
5,Serviços,atendimento,atendimento,0
6,Serviços,erro,erro,0
6,Serviços,consultar,consultor,1
6,Serviços,limite,limite,0
6,Serviços,consultar,consultor,1
6,Serviços,limite,limite,0
6,Serviços,erro,erro,0
6,Serviços,extrato,extrato,0
6,Serviços,atendimento,atendimento,0
7,Produto,carregamento,carregamento,0
7,Produto,relatórios,relatorio,2
7,Produto,suporte,suporte,0
7,Produto,pediu,pix,3
7,Produto,pagamento,pagamento,0
7,Produto,erro,erro,0
7,Produto,pagamentos,pagamento,1
7,Produto,naum,api,3
8,Produto,erro,erro,0
8,Produto,transferência,transferencia,1
8,Produto,transferência,transferencia,1
8,Produto,erro,erro,0
8,Produto,cadastro,cadastro,0
8,Produto,suporte,suporte,0
8,Produto,pediu,pix,3
9,Produto,suporte,suporte,0
9,Produto,pediu,pix,3
9,Produto,atendimento,atendimento,0
9,Produto,erro,erro,0
9,Produto,boleto,boleto,0
9,Produto,login,login,0
9,Produto,boleto,boleto,0
9,Produto,erro,erro,0
9,Produto,cadastro,cadastro,0
9,Produto,login,login,0
10,Pós-venda,carregamento,carregamento,0
10,Pós-venda,relatórios,relatorio,2
10,Pós-venda,boleto,boleto,0
10,Pós-venda,erro,erro,0
10,Pós-venda,integração,integracao,2
10,Pós-venda,integração,integracao,2
11,Produto,erro,erro,0
11,Produto,relatório,relatorio,1
11,Produto,atendimento,atendimento,0
12,Geral,erro,erro,0
12,Geral,boleto,boleto,0
13,Produto,carregamento,carregamento,0
13,Produto,relatórios,relatorio,2
13,Produto,transferência,transferencia,1
13,Produto,erro,erro,0
13,Produto,relatórios,relatorio,2
13,Produto,suporte,suporte,0
13,Produto,pediu,pix,3
14,Serviços,carregamento,carregamento,0
14,Serviços,relatórios,relatorio,2
14,Serviços,cadastro,cadastro,0
14,Serviços,erro,erro,0
14,Serviços,integrar,integracao,3
14,Serviços,sistema,sistema,0
14,Serviços,demoro,erro,3
15,Produto,erro,erro,0
15,Produto,consultar,consultor,1
15,Produto,saldo,saldo,0
15,Produto,consultar,consultor,1
15,Produto,saldo,saldo,0
15,Produto,dashboard,dashboard,0
15,Produto,duas,bug,3
15,Produto,atendimento,atendimento,0
15,Produto,ploblema,problema,1
16,Serviços,performance,performance,0
16,Serviços,relatório,relatorio,1
16,Serviços,erro,erro,0
16,Serviços,sitema,sistema,1
16,Serviços,atendimnto,atendimento,1
16,Serviços,bugou,bug,2
17,Produto,atendimento,atendimento,0
17,Produto,erro,erro,0
17,Produto,consultar,consultor,1
17,Produto,saldo,saldo,0
17,Produto,consultar,consultor,1
17,Produto,saldo,saldo,0
17,Produto,erro,erro,0
17,Produto,dashboard,dashboard,0
17,Produto,carregamento,carregamento,0
17,Produto,relatórios,relatorio,2
18,Suporte,carregamento,carregamento,0
18,Suporte,relatórios,relatorio,2
18,Suporte,erro,erro,0
18,Suporte,boleto,boleto,0
18,Suporte,boleto,boleto,0
18,Suporte,duas,bug,3
18,Suporte,atendimento,atendimento,0
18,Suporte,suporte,suporte,0
18,Suporte,pediu,pix,3
19,Pós-venda,pagamento,pagamento,0
19,Pós-venda,limite,limite,0
19,Pós-venda,duas,bug,3
19,Pós-venda,limite,limite,0
19,Pós-venda,pagamento,pagamento,0
19,Pós-venda,erro,erro,0
