comentario,nota,responsavel,comentario_stem_porter
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,0,Serviços,o carregamento do relatorio demor recebi erro enquanto tentava fazer transferencia
"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",1,Suporte,consegui consultar saldo ma depoi apareceu erro em chat o carregamento do relatorio demor as notificaco chegaram atrasada recebi erro enquanto tentava consultar saldo precisei repetir alguma etapa para concluir o suport pediu novament as mesma informaco msg
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,5,Serviços,recebi erro enquanto tentava integrar sistema as notificaco chegaram atrasada demoro ploblema
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",7,Geral,o suport pediu novament as mesma informaco o atendimento resolveu rapido a solicitacao consegui emitir boleto ma depoi apareceu erro em cartao virtual o carregamento do relatorio demor tentei emitir boleto e usabilidad travou dua veze as notificaco chegaram atrasada
Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,1,Serviços,depoi da atualizacao onboard ficou mai simpl o atendimento resolveu rapido a solicitacao onboard demor para respond precisei repetir alguma etapa para concluir ploblema travano vc
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",2,Serviços,o suport pediu novament as mesma informaco o carregamento do relatorio demor consegui baixar relatorio ma depoi apareceu erro em api o atendimento resolveu rapido a solicitacao notificaco demor para respond
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",3,Serviços,recebi erro enquanto tentava consultar limit consegui consultar limit ma depoi apareceu erro em extrato o atendimento resolveu rapido a solicitacao precisei repetir alguma etapa para concluir
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",10,Produto,o carregamento do relatorio demor o suport pediu novament as mesma informaco as notificaco chegaram atrasada precisei repetir alguma etapa para concluir consegui acompanhar pagamento ma depoi apareceu erro em api pagamento demor para respond naum
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",0,Produto,precisei repetir alguma etapa para concluir recebi erro enquanto tentava fazer transferencia as notificaco chegaram atrasada consegui fazer transferencia ma depoi apareceu erro em cadastro o suport pediu novament as mesma informaco
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",8,Produto,o suport pediu novament as mesma informaco o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava emitir boleto login demor para respond consegui emitir boleto ma depoi apareceu erro em cadastro depoi da atualizacao login ficou mai simpl
"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",4,Pós-venda,o carregamento do relatorio demor consegui emitir boleto ma depoi apareceu erro em api integracao demor para respond depoi da atualizacao integracao ficou mai simpl
Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,8,Produto,recebi erro enquanto tentava baixar relatorio o atendimento resolveu rapido a solicitacao
Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,4,Geral,depoi da atualizacao notificaco ficou mai simpl recebi erro enquanto tentava emitir boleto
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",2,Produto,o carregamento do relatorio demor as notificaco chegaram atrasada consegui fazer transferencia ma depoi apareceu erro em relatorio o suport pediu novament as mesma informaco
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,4,Serviços,o carregamento do relatorio demor depoi da atualizacao cadastro ficou mai simpl recebi erro enquanto tentava integrar sistema precisei repetir alguma etapa para concluir as notificaco chegaram atrasada demoro
Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. ploblema,9,Produto,recebi erro enquanto tentava consultar saldo tentei consultar saldo e dashboard travou dua veze o atendimento resolveu rapido a solicitacao ploblema
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. sitema atendimnto bugou",3,Serviços,depoi da atualizacao perform ficou mai simpl as notificaco chegaram atrasada consegui baixar relatorio ma depoi apareceu erro em chat sitema atendimnto bugou
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Produto,o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava consultar saldo consegui consultar saldo ma depoi apareceu erro em dashboard o carregamento do relatorio demor as notificaco chegaram atrasada
O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,2,Suporte,o carregamento do relatorio demor recebi erro enquanto tentava emitir boleto tentei emitir boleto e notificaco travou dua veze o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco
"Tentei acompanhar pagamento e limite travou duas vezes. limite demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. ploblema sitema",3,Pós-venda,tentei acompanhar pagamento e limit travou dua veze limit demor para respond as notificaco chegaram atrasada precisei repetir alguma etapa para concluir consegui acompanhar pagamento ma depoi apareceu erro em usabilidad ploblema sitema
"Consegui acompanhar pagamento, mas depois apareceu erro em API. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. demoro",8,Serviços,consegui acompanhar pagamento ma depoi apareceu erro em api tentei acompanhar pagamento e limit travou dua veze o carregamento do relatorio demor o atendimento resolveu rapido a solicitacao demoro
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência.,8,Produto,precisei repetir alguma etapa para concluir recebi erro enquanto tentava fazer transferencia
Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. msg travano,1,Suporte,recebi erro enquanto tentava consultar saldo as notificaco chegaram atrasada o atendimento resolveu rapido a solicitacao chat demor para respond precisei repetir alguma etapa para concluir o carregamento do relatorio demor msg travano
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,7,Serviços,precisei repetir alguma etapa para concluir recebi erro enquanto tentava consultar saldo o carregamento do relatorio demor o suport pediu novament as mesma informaco depoi da atualizacao integracao ficou mai simpl
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,5,Suporte,usabilidad demor para respond depoi da atualizacao usabilidad ficou mai simpl o suport pediu novament as mesma informaco o carregamento do relatorio demor
Mais ou menos.,8,Geral,mai ou meno
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. demoro probelma,10,Suporte,recebi erro enquanto tentava atualizar cadastro o carregamento do relatorio demor demoro probelma
Tentei baixar relatório e onboarding travou duas vezes. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. atendimnto,3,Serviços,tentei baixar relatorio e onboard travou dua veze recebi erro enquanto tentava baixar relatorio as notificaco chegaram atrasada depoi da atualizacao onboard ficou mai simpl atendimnto
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,10,Serviços,as notificaco chegaram atrasada o carregamento do relatorio demor tentei baixar relatorio e api travou dua veze depoi da atualizacao api ficou mai simpl precisei repetir alguma etapa para concluir recebi erro enquanto tentava baixar relatorio
O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo.,9,Geral,o atendimento resolveu rapido a solicitacao tentei consultar saldo e cartao virtual travou dua veze precisei repetir alguma etapa para concluir recebi erro enquanto tentava consultar saldo
"usabilidade demorou para responder. Consegui consultar limite, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. atendimnto sitema probelma",5,Serviços,usabilidad demor para respond consegui consultar limit ma depoi apareceu erro em onboard precisei repetir alguma etapa para concluir as notificaco chegaram atrasada recebi erro enquanto tentava consultar limit o carregamento do relatorio demor atendimnto sitema probelma
"Consegui baixar relatório, mas depois apareceu erro em onboarding. Depois da atualização login ficou mais simples. O atendimento resolveu rápido a solicitação. probelma",1,Suporte,consegui baixar relatorio ma depoi apareceu erro em onboard depoi da atualizacao login ficou mai simpl o atendimento resolveu rapido a solicitacao probelma
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,3,Suporte,o atendimento resolveu rapido a solicitacao o carregamento do relatorio demor as notificaco chegaram atrasada precisei repetir alguma etapa para concluir
Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. sitema demoro,0,Produto,recebi erro enquanto tentava atualizar cadastro as notificaco chegaram atrasada sitema demoro
As notificações chegaram atrasadas. Tentei atualizar cadastro e chat travou duas vezes.,1,Pós-venda,as notificaco chegaram atrasada tentei atualizar cadastro e chat travou dua veze
As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. bugou,10,Geral,as notificaco chegaram atrasada recebi erro enquanto tentava acompanhar pagamento o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco bugou
"O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui consultar limite, mas depois apareceu erro em extrato. Depois da atualização cartão virtual ficou mais simples.",8,Geral,o carregamento do relatorio demor cartao virtual demor para respond consegui consultar limit ma depoi apareceu erro em extrato depoi da atualizacao cartao virtual ficou mai simpl
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em cartão virtual. As notificações chegaram atrasadas. Depois da atualização pagamentos ficou mais simples.",2,Produto,o suport pediu novament as mesma informaco consegui consultar saldo ma depoi apareceu erro em cartao virtual as notificaco chegaram atrasada depoi da atualizacao pagamento ficou mai simpl
Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. travano,7,Serviços,recebi erro enquanto tentava baixar relatorio o suport pediu novament as mesma informaco o atendimento resolveu rapido a solicitacao travano
Recebi erro enquanto tentava baixar relatório. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,3,Suporte,recebi erro enquanto tentava baixar relatorio depoi da atualizacao login ficou mai simpl as notificaco chegaram atrasada o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco precisei repetir alguma etapa para concluir
"As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em performance. naum platafroma qdo",6,Produto,as notificaco chegaram atrasada consegui consultar saldo ma depoi apareceu erro em perform naum platafroma qdo
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O suporte pediu novamente as mesmas informações.,1,Produto,precisei repetir alguma etapa para concluir o carregamento do relatorio demor as notificaco chegaram atrasada depoi da atualizacao integracao ficou mai simpl o suport pediu novament as mesma informaco
"Depois da atualização integração ficou mais simples. Consegui atualizar cadastro, mas depois apareceu erro em notificações. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e integração travou duas vezes. integração demorou para responder. atendimnto naum",7,Suporte,depoi da atualizacao integracao ficou mai simpl consegui atualizar cadastro ma depoi apareceu erro em notificaco o suport pediu novament as mesma informaco o carregamento do relatorio demor tentei atualizar cadastro e integracao travou dua veze integracao demor para respond atendimnto naum
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema qdo,2,Suporte,as notificaco chegaram atrasada precisei repetir alguma etapa para concluir sitema qdo
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Tentei consultar saldo e integração travou duas vezes. integração demorou para responder. Precisei repetir algumas etapas para concluir. Consegui consultar saldo, mas depois apareceu erro em chat.",6,Suporte,as notificaco chegaram atrasada depoi da atualizacao integracao ficou mai simpl tentei consultar saldo e integracao travou dua veze integracao demor para respond precisei repetir alguma etapa para concluir consegui consultar saldo ma depoi apareceu erro em chat
