comentario,nota,responsavel,comentario_sem_stopwords
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,0,Serviços,carregamento relatorios demorou recebi erro enquanto tentava fazer transferencia
"Consegui consultar saldo, mas depois apareceu erro em chat. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. msg",1,Suporte,consegui consultar saldo apareceu erro chat carregamento relatorios demorou notificacoes chegaram atrasadas recebi erro enquanto tentava consultar saldo precisei repetir algumas etapas concluir suporte pediu novamente mesmas informacoes msg
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. demoro ploblema,5,Serviços,recebi erro enquanto tentava integrar notificacoes chegaram atrasadas demoro ploblema
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. As notificações chegaram atrasadas.",7,Geral,suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao consegui emitir boleto apareceu erro cartao virtual carregamento relatorios demorou tentei emitir boleto usabilidade travou duas vezes notificacoes chegaram atrasadas
Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. ploblema travano vcs,1,Serviços,atualizacao onboarding ficou simples atendimento resolveu rapido solicitacao onboarding demorou responder precisei repetir algumas etapas concluir ploblema travano vcs
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. notificações demorou para responder.",2,Serviços,suporte pediu novamente mesmas informacoes carregamento relatorios demorou consegui baixar relatorio apareceu erro api atendimento resolveu rapido solicitacao notificacoes demorou responder
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",3,Serviços,recebi erro enquanto tentava consultar limite consegui consultar limite apareceu erro extrato atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em API. pagamentos demorou para responder. naum",10,Produto,carregamento relatorios demorou suporte pediu novamente mesmas informacoes notificacoes chegaram atrasadas precisei repetir algumas etapas concluir consegui acompanhar pagamento apareceu erro api pagamentos demorou responder naum
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações.",0,Produto,precisei repetir algumas etapas concluir recebi erro enquanto tentava fazer transferencia notificacoes chegaram atrasadas consegui fazer transferencia apareceu erro cadastro suporte pediu novamente mesmas informacoes
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. login demorou para responder. Consegui emitir boleto, mas depois apareceu erro em cadastro. Depois da atualização login ficou mais simples.",8,Produto,suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao recebi erro enquanto tentava emitir boleto login demorou responder consegui emitir boleto apareceu erro cadastro atualizacao login ficou simples
"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",4,Pós-venda,carregamento relatorios demorou consegui emitir boleto apareceu erro api integracao demorou responder atualizacao integracao ficou simples
Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,8,Produto,recebi erro enquanto tentava baixar relatorio atendimento resolveu rapido solicitacao
Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,4,Geral,atualizacao notificacoes ficou simples recebi erro enquanto tentava emitir boleto
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",2,Produto,carregamento relatorios demorou notificacoes chegaram atrasadas consegui fazer transferencia apareceu erro relatorios suporte pediu novamente mesmas informacoes
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,4,Serviços,carregamento relatorios demorou atualizacao cadastro ficou simples recebi erro enquanto tentava integrar precisei repetir algumas etapas concluir notificacoes chegaram atrasadas demoro
Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. ploblema,9,Produto,recebi erro enquanto tentava consultar saldo tentei consultar saldo dashboard travou duas vezes atendimento resolveu rapido solicitacao ploblema
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. sitema atendimnto bugou",3,Serviços,atualizacao performance ficou simples notificacoes chegaram atrasadas consegui baixar relatorio apareceu erro chat sitema atendimnto bugou
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Produto,atendimento resolveu rapido solicitacao recebi erro enquanto tentava consultar saldo consegui consultar saldo apareceu erro dashboard carregamento relatorios demorou notificacoes chegaram atrasadas
O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,2,Suporte,carregamento relatorios demorou recebi erro enquanto tentava emitir boleto tentei emitir boleto notificacoes travou duas vezes atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes
"Tentei acompanhar pagamento e limite travou duas vezes. limite demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. ploblema sitema",3,Pós-venda,tentei acompanhar pagamento limite travou duas vezes limite demorou responder notificacoes chegaram atrasadas precisei repetir algumas etapas concluir consegui acompanhar pagamento apareceu erro usabilidade ploblema sitema
"Consegui acompanhar pagamento, mas depois apareceu erro em API. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. demoro",8,Serviços,consegui acompanhar pagamento apareceu erro api tentei acompanhar pagamento limite travou duas vezes carregamento relatorios demorou atendimento resolveu rapido solicitacao demoro
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência.,8,Produto,precisei repetir algumas etapas concluir recebi erro enquanto tentava fazer transferencia
Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. msg travano,1,Suporte,recebi erro enquanto tentava consultar saldo notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao chat demorou responder precisei repetir algumas etapas concluir carregamento relatorios demorou msg travano
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,7,Serviços,precisei repetir algumas etapas concluir recebi erro enquanto tentava consultar saldo carregamento relatorios demorou suporte pediu novamente mesmas informacoes atualizacao integracao ficou simples
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,5,Suporte,usabilidade demorou responder atualizacao usabilidade ficou simples suporte pediu novamente mesmas informacoes carregamento relatorios demorou
Mais ou menos.,8,Geral,menos
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. demoro probelma,10,Suporte,recebi erro enquanto tentava atualizar cadastro carregamento relatorios demorou demoro probelma
